<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,160729,410.25,410.25,407.75,407.75,61173
WC,160801,407.75,407.75,406.00,406.00,68357
WC,160802,406.00,406.00,401.25,401.25,68357
WC,160803,401.25,410.25,401.25,410.25,66098
WC,160804,410.25,410.25,403.25,403.25,66098
WC,160805,403.25,416.00,403.25,416.00,114185
WC,160808,416.00,417.00,416.00,417.00,129025
WC,160809,417.00,417.00,417.00,417.00,129025
WC,160810,417.00,421.75,417.00,421.75,90634
WC,160811,421.75,421.75,416.25,416.25,98818
WC,160812,416.25,422.50,416.25,422.50,98818
WC,160815,422.50,422.50,422.00,422.00,82009
WC,160816,422.00,423.50,422.00,423.50,82009
WC,160817,423.50,426.00,423.50,426.00,69172
WC,160818,443.00,444.25,443.00,444.25,57941
WC,160819,444.25,444.75,444.25,444.75,58565
WC,160822,444.75,444.75,435.25,435.25,77188
WC,160823,435.25,435.25,427.50,427.50,77188
WC,160824,427.50,427.50,426.25,426.25,74497
WC,160825,426.25,426.25,423.75,423.75,54496
WC,160826,423.75,423.75,407.50,407.50,100794
WC,160829,407.50,407.50,397.00,397.00,100794
WC,160830,397.00,397.00,392.25,392.25,94812
WC,160831,392.25,392.25,388.25,388.25,94812
WC,160901,388.25,394.75,388.25,394.75,70911
WC,160902,394.75,399.25,394.75,399.25,63440
WC,160905,399.25,399.25,399.25,399.25,0
WC,160906,399.25,399.25,398.50,398.50,46077
WC,160907,398.50,402.75,398.50,402.75,48770
WC,160908,402.75,406.00,402.75,406.00,48770
WC,160909,406.00,406.00,403.50,403.50,49098
WC,160912,403.50,409.25,403.50,409.25,73526
WC,160913,409.25,409.25,401.00,401.00,73526
WC,160914,401.00,403.00,401.00,403.00,57171
WC,160915,403.00,403.00,399.50,399.50,57171
WC,160916,399.50,403.25,399.50,403.25,49762
WC,160919,403.25,404.00,403.25,404.00,49762
WC,160920,404.00,406.00,404.00,406.00,45558
WC,160921,406.00,407.75,406.00,407.75,43011
WC,160922,407.75,407.75,405.50,405.50,41465
WC,160923,405.50,405.50,404.75,404.75,44340
WC,160926,404.75,404.75,396.00,396.00,55425
WC,160927,396.00,404.00,396.00,404.00,60932
WC,160928,404.00,404.00,403.25,403.25,60932
WC,160929,403.25,403.25,399.00,399.00,47733
WC,160930,399.00,402.00,399.00,402.00,90561
WC,161003,402.00,402.00,395.50,395.50,90561
WC,161004,395.50,395.50,395.50,395.50,73010
WC,161005,395.50,405.00,395.50,405.00,82177
WC,161006,405.00,405.00,395.75,395.75,82996
WC,161007,395.75,395.75,394.75,394.75,82996
WC,161010,394.75,403.75,394.75,403.75,67155
WC,161011,403.75,407.25,403.75,407.25,69906
WC,161012,407.25,407.25,396.75,396.75,96067
WC,161013,396.75,416.00,396.75,416.00,108555
WC,161014,416.00,421.00,416.00,421.00,108555
WC,161017,421.00,423.75,421.00,423.75,105412
WC,161018,423.75,423.75,420.00,420.00,68644
WC,161019,420.00,420.25,420.00,420.25,61517
WC,161020,420.25,420.25,417.00,417.00,61517
WC,161021,417.00,417.00,414.50,414.50,49984
WC,161024,414.50,414.50,402.50,402.50,82892
WC,161025,402.50,404.25,402.50,404.25,82892
WC,161026,404.25,411.50,404.25,411.50,71491
WC,161027,411.50,414.50,411.50,414.50,71491
